px,py,pz,ox,oy,oz,ow,vx,vy,vz,goal_status
-1.15E-07,14.999998,2.9915218,-0.70703477,6.01E-07,1.76E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-1.72E-07,14.999997,2.9854658,-0.70703477,9.01E-07,2.64E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-2.29E-07,14.999996,2.978199,-0.70703477,1.20E-06,3.52E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-2.87E-07,14.999995,2.9697208,-0.70703477,1.50E-06,4.40E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-3.43E-07,14.999994,2.960032,-0.70703477,1.80E-06,5.28E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-4.00E-07,14.999993,2.9491317,-0.70703477,2.10E-06,6.16E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-4.57E-07,14.999992,2.9370203,-0.70703477,2.40E-06,7.03E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-5.14E-07,14.999991,2.9236982,-0.70703477,2.71E-06,7.91E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-5.69E-07,14.99999,2.9091651,-0.70703477,3.01E-06,8.79E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-6.27E-07,14.9999895,2.8934207,-0.70703477,3.31E-06,9.67E-06,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-6.84E-07,14.999989,2.876465,-0.70703477,3.61E-06,1.05E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-7.42E-07,14.999988,2.8582985,-0.70703477,3.91E-06,1.14E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-7.98E-07,14.999987,2.8389208,-0.70703477,4.21E-06,1.23E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-8.56E-07,14.999986,2.818332,-0.70703477,4.51E-06,1.32E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-9.11E-07,14.999985,2.796532,-0.70703477,4.81E-06,1.41E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-9.66E-07,14.999984,2.7735205,-0.70703477,5.11E-06,1.49E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-1.02E-06,14.999983,2.7492983,-0.70703477,5.42E-06,1.58E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.08E-06,14.999982,2.7238648,-0.70703477,5.72E-06,1.67E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.14E-06,14.999981,2.6972203,-0.70703477,6.02E-06,1.76E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.20E-06,14.99998,2.6693647,-0.70703477,6.32E-06,1.84E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.26E-06,14.999979,2.640298,-0.70703477,6.62E-06,1.93E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.31E-06,14.999978,2.6100202,-0.70703477,6.92E-06,2.02E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.37E-06,14.999977,2.5785313,-0.70703477,7.23E-06,2.11E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.42E-06,14.999976,2.5458312,-0.70703477,7.53E-06,2.19E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.48E-06,14.999975,2.5119202,-0.70703477,7.83E-06,2.28E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.54E-06,14.999974,2.4767978,-0.70703477,8.13E-06,2.37E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.59E-06,14.999973,2.4404645,-0.70703477,8.43E-06,2.46E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.65E-06,14.999972,2.4029198,-0.70703477,8.74E-06,2.55E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.70E-06,14.999971,2.364164,-0.70703477,9.04E-06,2.63E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.76E-06,14.99997,2.3241973,-0.70703477,9.34E-06,2.72E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.82E-06,14.9999695,2.2830193,-0.70703477,9.64E-06,2.81E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.87E-06,14.999969,2.2406301,-0.70703477,9.95E-06,2.90E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.93E-06,14.999968,2.1970298,-0.70703477,1.02E-05,2.98E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-1.99E-06,14.999967,2.1522186,-0.70703477,1.06E-05,3.07E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.05E-06,14.999966,2.1061966,-0.70703477,1.09E-05,3.16E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.10E-06,14.999965,2.058963,-0.70703477,1.12E-05,3.25E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.16E-06,14.999964,2.0105183,-0.70703477,1.15E-05,3.33E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.22E-06,14.999963,1.9608625,-0.70703477,1.18E-05,3.42E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
-2.27E-06,14.999962,1.9099957,-0.70703477,1.21E-05,3.51E-05,0.7071788,-3.70E-06,-8.01E-05,1.54E-05,Spawning on floor
