px,py,pz,idle,linear,rotational,goal_status
-1.15e-07,14.999998,2.9915218,1,0,0,Spawning on floor
-1.72e-07,14.999997,2.9854658,1,0,0,Spawning on floor
-2.29e-07,14.999996,2.978199,1,0,0,Spawning on floor
-2.87e-07,14.999995,2.9697208,1,0,0,Spawning on floor
-3.43e-07,14.999994,2.960032,1,0,0,Spawning on floor
-4e-07,14.999993,2.9491317,1,0,0,Spawning on floor
-4.57e-07,14.999992,2.9370203,1,0,0,Spawning on floor
-5.14e-07,14.999991,2.9236982,1,0,0,Spawning on floor
-5.69e-07,14.99999,2.9091651,1,0,0,Spawning on floor
-6.27e-07,14.9999895,2.8934207,1,0,0,Spawning on floor
-6.84e-07,14.999989,2.876465,1,0,0,Spawning on floor
-7.42e-07,14.999988,2.8582985,1,0,0,Spawning on floor
-7.98e-07,14.999987,2.8389208,1,0,0,Spawning on floor
-8.56e-07,14.999986,2.818332,1,0,0,Spawning on floor
-9.11e-07,14.999985,2.796532,1,0,0,Spawning on floor
-9.66e-07,14.999984,2.7735205,1,0,0,Spawning on floor
-1.02e-06,14.999983,2.7492983,1,0,0,Spawning on floor
-1.08e-06,14.999982,2.7238648,1,0,0,Spawning on floor
-1.14e-06,14.999981,2.6972203,1,0,0,Spawning on floor
-1.2e-06,14.99998,2.6693647,1,0,0,Spawning on floor
-1.26e-06,14.999979,2.640298,1,0,0,Spawning on floor
-1.31e-06,14.999978,2.6100202,1,0,0,Spawning on floor
-1.37e-06,14.999977,2.5785313,1,0,0,Spawning on floor
-1.42e-06,14.999976,2.5458312,1,0,0,Spawning on floor
-1.48e-06,14.999975,2.5119202,1,0,0,Spawning on floor
-1.54e-06,14.999974,2.4767978,1,0,0,Spawning on floor
-1.59e-06,14.999973,2.4404645,1,0,0,Spawning on floor
-1.65e-06,14.999972,2.4029198,1,0,0,Spawning on floor
-1.7e-06,14.999971,2.364164,1,0,0,Spawning on floor
-1.76e-06,14.99997,2.3241973,1,0,0,Spawning on floor
-1.82e-06,14.9999695,2.2830193,1,0,0,Spawning on floor
-1.87e-06,14.999969,2.2406301,1,0,0,Spawning on floor
-1.93e-06,14.999968,2.1970298,1,0,0,Spawning on floor
-1.99e-06,14.999967,2.1522186,1,0,0,Spawning on floor
-2.05e-06,14.999966,2.1061966,1,0,0,Spawning on floor
-2.1e-06,14.999965,2.058963,1,0,0,Spawning on floor
-2.16e-06,14.999964,2.0105183,1,0,0,Spawning on floor
-2.22e-06,14.999963,1.9608625,1,0,0,Spawning on floor
-2.27e-06,14.999962,1.9099957,1,0,0,Spawning on floor
-2.33e-06,14.999961,1.857918,1,0,0,Spawning on floor
-2.39e-06,14.99996,1.8046287,1,0,0,Spawning on floor
-2.44e-06,14.999959,1.7501289,1,0,0,Spawning on floor
-2.5e-06,14.999958,1.6944175,1,0,0,Spawning on floor
-2.56e-06,14.999957,1.637495,1,0,0,Spawning on floor
-2.62e-06,14.999956,1.5793616,1,0,0,Spawning on floor
-2.67e-06,14.999955,1.5200171,1,0,0,Spawning on floor
-2.73e-06,14.999954,1.4594615,1,0,0,Spawning on floor
-2.79e-06,14.999953,1.3976947,1,0,0,Spawning on floor
-2.85e-06,14.999952,1.3347169,1,0,0,Spawning on floor
-2.9e-06,14.999951,1.270528,1,0,0,Spawning on floor
-2.96e-06,14.99995,1.2051278,1,0,0,Spawning on floor
-3.02e-06,14.999949,1.1385167,1,0,0,Spawning on floor
-3.08e-06,14.9999485,1.0706943,1,0,0,Spawning on floor
-3.14e-06,14.999948,1.0016611,1,0,0,Spawning on floor
