source,target,index,stage,hus1b,slc22a1,loc100132354,slc22a16,abca12,c10orf41,c4orf6,c9orf129,cd1c,trim36,afap1l1,c6orf176,cabyr,ccdc146,ces8
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,0,positive,0,0,4,0,4,4,4,4,0,4,0,4,0,0,4
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,1,positive,0,0,4,0,4,4,4,4,0,4,0,4,0,0,4
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,2,positive,0,0,4,0,4,3,4,4,1,4,1,4,0,0,4
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,3,positive,1,1,3,1,3,3,3,3,1,3,1,3,1,1,3
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,4,positive,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,5,positive,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,6,positive,3,3,1,3,1,1,1,1,3,1,3,1,4,3,1
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,7,positive,4,4,0,4,0,1,0,0,3,0,3,0,4,3,0
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,8,positive,4,4,0,4,0,0,0,0,4,0,4,0,4,4,0
TCGA-6D-AA2E-01,TCGA-CJ-4870-01,9,positive,4,4,0,4,0,0,0,0,4,0,4,0,4,4,0
TCGA-A3-3306-01,TCGA-B8-5550-01,0,positive,4,0,1,0,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3306-01,TCGA-B8-5550-01,1,positive,4,0,1,1,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3306-01,TCGA-B8-5550-01,2,positive,4,0,1,1,4,4,4,3,0,1,0,0,1,0,4
TCGA-A3-3306-01,TCGA-B8-5550-01,3,positive,3,1,1,1,3,3,3,2,1,1,1,1,1,1,3
TCGA-A3-3306-01,TCGA-B8-5550-01,4,positive,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2
TCGA-A3-3306-01,TCGA-B8-5550-01,5,positive,2,2,1,1,2,2,2,0,2,2,2,3,2,3,2
TCGA-A3-3306-01,TCGA-B8-5550-01,6,positive,1,3,1,2,1,1,1,0,3,2,3,4,3,3,1
TCGA-A3-3306-01,TCGA-B8-5550-01,7,positive,1,3,3,3,0,0,1,0,4,3,4,4,3,4,0
TCGA-A3-3306-01,TCGA-B8-5550-01,8,positive,0,4,4,4,0,0,0,1,4,4,4,4,4,4,0
TCGA-A3-3306-01,TCGA-B8-5550-01,9,positive,0,4,4,4,0,0,0,2,4,4,4,4,4,4,0
TCGA-A3-3306-01,TCGA-CZ-4853-01,0,negative,4,0,4,0,4,4,4,4,0,0,0,4,0,0,0
TCGA-A3-3306-01,TCGA-CZ-4853-01,1,negative,4,0,4,0,4,4,4,4,0,0,0,4,0,0,0
TCGA-A3-3306-01,TCGA-CZ-4853-01,2,negative,4,0,4,0,4,4,4,4,0,1,0,4,0,0,0
TCGA-A3-3306-01,TCGA-CZ-4853-01,3,negative,3,1,3,1,3,3,3,3,1,1,1,3,1,1,1
TCGA-A3-3306-01,TCGA-CZ-4853-01,4,negative,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3306-01,TCGA-CZ-4853-01,5,negative,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3306-01,TCGA-CZ-4853-01,6,negative,1,3,1,3,1,1,1,1,3,3,3,1,3,3,3
TCGA-A3-3306-01,TCGA-CZ-4853-01,7,negative,0,4,0,4,0,1,0,0,4,3,3,0,4,4,4
TCGA-A3-3306-01,TCGA-CZ-4853-01,8,negative,0,4,0,4,0,0,0,0,4,4,4,0,4,4,4
TCGA-A3-3306-01,TCGA-CZ-4853-01,9,negative,0,4,0,4,0,0,0,0,4,4,4,0,4,4,4
TCGA-A3-3316-01,TCGA-A3-3324-01,0,negative,4,4,0,4,4,4,0,0,4,0,4,4,0,4,3
TCGA-A3-3316-01,TCGA-A3-3324-01,1,negative,4,4,0,4,4,4,0,0,4,0,4,4,0,4,3
TCGA-A3-3316-01,TCGA-A3-3324-01,2,negative,4,3,0,4,4,4,0,0,4,0,4,4,0,4,3
TCGA-A3-3316-01,TCGA-A3-3324-01,3,negative,3,3,1,3,3,3,1,1,3,1,3,3,1,3,4
TCGA-A3-3316-01,TCGA-A3-3324-01,4,negative,3,2,2,2,2,2,1,2,3,2,2,2,2,3,4
TCGA-A3-3316-01,TCGA-A3-3324-01,5,negative,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3
TCGA-A3-3316-01,TCGA-A3-3324-01,6,negative,1,1,3,1,1,1,3,3,1,3,1,1,3,1,2
TCGA-A3-3316-01,TCGA-A3-3324-01,7,negative,0,1,4,0,0,0,4,4,0,4,0,0,4,0,1
TCGA-A3-3316-01,TCGA-A3-3324-01,8,negative,0,0,4,0,0,0,4,4,0,4,0,0,4,0,0
TCGA-A3-3316-01,TCGA-A3-3324-01,9,negative,0,0,4,0,0,0,4,4,0,4,0,0,4,0,0
TCGA-A3-3316-01,TCGA-BP-4960-01,0,negative,4,0,0,4,0,0,0,0,4,4,4,0,0,4,4
TCGA-A3-3316-01,TCGA-BP-4960-01,1,negative,4,0,0,4,0,0,0,0,4,4,4,0,0,4,4
TCGA-A3-3316-01,TCGA-BP-4960-01,2,negative,3,0,0,4,0,0,0,0,4,4,4,0,0,4,4
TCGA-A3-3316-01,TCGA-BP-4960-01,3,negative,2,1,1,3,1,1,1,1,3,3,3,1,1,3,3
TCGA-A3-3316-01,TCGA-BP-4960-01,4,negative,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
TCGA-A3-3316-01,TCGA-BP-4960-01,5,negative,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3316-01,TCGA-BP-4960-01,6,negative,1,3,3,1,3,3,3,3,1,1,1,3,3,1,1
TCGA-A3-3316-01,TCGA-BP-4960-01,7,negative,1,4,4,0,4,4,4,4,0,0,0,4,4,0,0
TCGA-A3-3316-01,TCGA-BP-4960-01,8,negative,1,4,4,0,4,4,4,4,0,0,0,4,4,0,0
TCGA-A3-3316-01,TCGA-BP-4960-01,9,negative,1,4,4,0,4,4,4,4,0,0,0,4,4,0,0
TCGA-A3-3316-01,TCGA-BP-5198-01,0,positive,4,4,0,4,4,4,4,0,4,0,0,0,0,4,0
TCGA-A3-3316-01,TCGA-BP-5198-01,1,positive,4,4,0,4,4,4,4,0,4,0,0,0,0,4,0
TCGA-A3-3316-01,TCGA-BP-5198-01,2,positive,3,4,0,4,3,4,4,0,4,0,0,2,0,4,0
TCGA-A3-3316-01,TCGA-BP-5198-01,3,positive,2,3,1,3,3,3,3,1,3,1,1,3,1,3,1
TCGA-A3-3316-01,TCGA-BP-5198-01,4,positive,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2
TCGA-A3-3316-01,TCGA-BP-5198-01,5,positive,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2
TCGA-A3-3316-01,TCGA-BP-5198-01,6,positive,1,1,3,1,1,1,1,3,1,3,3,3,3,1,3
TCGA-A3-3316-01,TCGA-BP-5198-01,7,positive,1,0,4,0,1,0,0,4,0,4,4,3,4,1,4
TCGA-A3-3316-01,TCGA-BP-5198-01,8,positive,0,0,4,0,0,0,0,4,0,4,4,3,4,0,4
TCGA-A3-3316-01,TCGA-BP-5198-01,9,positive,0,0,4,0,0,0,0,4,0,4,4,4,4,0,4
TCGA-A3-3316-01,TCGA-CZ-5988-01,0,negative,4,4,0,4,4,4,0,0,4,4,4,4,0,0,0
TCGA-A3-3316-01,TCGA-CZ-5988-01,1,negative,4,4,0,4,4,4,0,0,4,4,4,4,0,0,0
TCGA-A3-3316-01,TCGA-CZ-5988-01,2,negative,4,3,0,4,4,4,0,0,4,4,4,4,0,0,0
TCGA-A3-3316-01,TCGA-CZ-5988-01,3,negative,3,2,1,3,3,3,1,1,3,3,3,3,1,1,1
TCGA-A3-3316-01,TCGA-CZ-5988-01,4,negative,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2
TCGA-A3-3316-01,TCGA-CZ-5988-01,5,negative,2,0,2,1,2,2,2,2,2,2,2,2,2,3,2
TCGA-A3-3316-01,TCGA-CZ-5988-01,6,negative,1,0,3,1,1,1,3,3,1,1,1,1,3,3,3
TCGA-A3-3316-01,TCGA-CZ-5988-01,7,negative,1,0,4,0,0,0,4,4,1,0,0,1,3,4,4
TCGA-A3-3316-01,TCGA-CZ-5988-01,8,negative,0,1,4,0,0,0,4,4,0,0,0,0,4,4,4
TCGA-A3-3316-01,TCGA-CZ-5988-01,9,negative,0,1,4,0,0,0,4,4,0,0,0,0,4,4,4
TCGA-A3-3316-01,TCGA-DV-5568-01,0,negative,4,0,0,4,4,0,0,0,4,4,0,4,0,4,0
TCGA-A3-3316-01,TCGA-DV-5568-01,1,negative,4,0,0,4,4,0,0,0,4,4,0,4,0,4,1
TCGA-A3-3316-01,TCGA-DV-5568-01,2,negative,4,0,0,4,4,1,0,0,4,4,0,4,0,4,2
TCGA-A3-3316-01,TCGA-DV-5568-01,3,negative,3,1,1,3,3,2,1,1,3,3,1,3,1,3,4
TCGA-A3-3316-01,TCGA-DV-5568-01,4,negative,3,1,2,2,2,3,1,2,2,3,2,2,2,3,4
TCGA-A3-3316-01,TCGA-DV-5568-01,5,negative,2,2,2,2,2,3,2,3,2,2,2,2,2,2,4
TCGA-A3-3316-01,TCGA-DV-5568-01,6,negative,1,3,3,1,1,3,3,3,1,1,3,1,3,1,3
